순위,업소명,주소,분류,합산 검색 수,정보
1,신당동떡볶이타운,서울 중구,음식점기타,79996,https://m.place.naver.com/place/13543837/home?entry=plt
2,소문난성수감자탕,서울 성동구 연무장길 45-0,한식,51768,https://m.place.naver.com/restaurant/11721256/home?entry=pll
3,우래옥본점,서울 중구 창경궁로 62-29,한식,50653,https://m.place.naver.com/restaurant/11679381/home
4,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집,48871,https://m.place.naver.com/restaurant/12107143/home?entry=plt
5,또순이네,서울 영등포구 선유로47길 16-0,한식,45192,"https://map.naver.com/v5/search/%EB%98%90%EC%88%9C%EC%9D%B4%EB%84%A4/place/13017157?c=14124994.9457788,4514055.2906547,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
6,맥도날드송파잠실DT점,서울 송파구 도곡로 434-0,간이음식,44712,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%86%A1%ED%8C%8C%EC%9E%A0%EC%8B%A4DT%EC%A0%90/place/36262975?c=14145212.2128346,4509645.1356634,15,0,0,0,dh&isCorrectAnswer=true"
7,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식,43396,"https://map.naver.com/v5/search/%EC%83%88%EB%B2%BD%EC%A7%91%EC%B2%AD%EB%8B%B4%EB%8F%99%EC%A0%90/place/11680234?c=14142517.1679632,4512625.2138113,15,0,0,0,dh&isCorrectAnswer=true"
8,방이맛골,서울 송파구,음식점기타,42354,"https://map.naver.com/v5/search/%EB%B0%A9%EC%9D%B4%EB%A7%9B%EA%B3%A8/place/1970576378?c=14149522.6382686,4510793.6048677,16,0,0,0,dh&placePath=%3Fentry%253Dbmp"
9,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식,42064,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%B2%AD%EB%8B%B4DT%EC%A0%90/place/37402927?c=14141819.3281090,4512349.2632011,16,0,0,0,dh&isCorrectAnswer=true"
10,삼청동수제비본점,서울 종로구 삼청로 101-1,한식,41401,"https://map.naver.com/v5/search/%EC%82%BC%EC%B2%AD%EB%8F%99%EC%88%98%EC%A0%9C%EB%B9%84/place/11569605?c=14135101.3278584,4520898.5761555,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
11,스타벅스영등포신길점,서울 영등포구 신길로 137-0,카페/찻집,40439,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%98%81%EB%93%B1%ED%8F%AC%EC%8B%A0%EA%B8%B8%EC%A0%90/place/35886658?c=14127104.1570138,4509666.8817243,15,0,0,0,dh&isCorrectAnswer=true"
12,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식,39150,"https://map.naver.com/v5/search/%EC%98%81%EB%8F%99%EC%84%A4%EB%A0%81%ED%83%95/place/11678754?c=14139043.0619721,4511300.2119494,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
13,토속촌삼계탕,서울 종로구 자하문로5길 5-0,한식,36784,"https://map.naver.com/v5/search/%ED%86%A0%EC%86%8D%EC%B4%8C%EC%82%BC%EA%B3%84%ED%83%95/place/1710202923?c=14293539.8655486,4162742.5976659,15,0,0,0,dh&isCorrectAnswer=true"
14,마복림떡볶이,서울 중구 다산로35길 5-0,간이음식,34990,"https://map.naver.com/v5/search/%EB%A7%88%EB%B3%B5%EB%A6%BC%EB%96%A1%EB%B3%B6%EC%9D%B4?c=14138793.2832987,4517918.9081786,15,0,0,0,dh&isCorrectAnswer=true"
15,신토불이떡볶이,서울 광진구 자양로43길 42-0,간이음식,34692,"https://map.naver.com/v5/search/%EC%8B%A0%ED%86%A0%EB%B6%88%EC%9D%B4%EB%96%A1%EB%B3%B6%EC%9D%B4?c=14147183.9565216,4516414.5716671,15,0,0,0,dh&isCorrectAnswer=true"
16,스타벅스용산아이파크몰점,서울 용산구 한강대로23길 55-0,카페/찻집,34582,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%9A%A9%EC%82%B0%EC%95%84%EC%9D%B4%ED%8C%8C%ED%81%AC%EB%AA%B0%EC%A0%90/place/11689860?c=14133107.0169175,4513080.8149202,15,0,0,0,dh&isCorrectAnswer=true"
