순위,업소명,주소,분류,합산 검색 수
1,신당동떡볶이타운,서울 중구,음식점기타,79996
2,소문난성수감자탕,서울 성동구 연무장길 45-0,한식,51768
3,우래옥본점,서울 중구 창경궁로 62-29,한식,50653
4,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집,48871
5,또순이네,서울 영등포구 선유로47길 16-0,한식,45192
6,맥도날드송파잠실DT점,서울 송파구 도곡로 434-0,간이음식,44712
7,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식,43396
8,방이맛골,서울 송파구,음식점기타,42354
9,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식,42064
10,삼청동수제비본점,서울 종로구 삼청로 101-1,한식,41401
11,스타벅스영등포신길점,서울 영등포구 신길로 137-0,카페/찻집,40439
12,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식,39150
13,토속촌삼계탕,서울 종로구 자하문로5길 5-0,한식,36784
14,마복림떡볶이,서울 중구 다산로35길 5-0,간이음식,34990
15,신토불이떡볶이,서울 광진구 자양로43길 42-0,간이음식,34692
16,스타벅스용산아이파크몰점,서울 용산구 한강대로23길 55-0,카페/찻집,34582
17,강강술래상계점,서울 노원구 동일로 1628-0,한식,33197
18,스타벅스연희DT점,서울 서대문구 연희로 144-0,카페/찻집,32225
19,영천영화청담점,서울 강남구 도산대로90길 3-0,한식,31914
20,패션5,서울 용산구 이태원로 272-0,카페/찻집,31871
21,맥도날드서울둔촌DT점,서울 강동구 양재대로 1382-0,간이음식,31526
22,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집,30885
23,중앙해장,서울 강남구 영동대로86길 17-0,한식,30865
24,청와옥올림픽공원점,서울 송파구 위례성대로 48-0,한식,30340
25,스타벅스구의DT점,서울 광진구 광나루로 519-0,카페/찻집,30302
26,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식,30252
27,방배동카페골목,서울 서초구,음식점기타,30083
28,애플하우스이수점,서울 동작구 동작대로27다길 29-0,간이음식,28992
29,스타벅스망원한강공원점,서울 마포구 마포나루길 407-0,카페/찻집,28955
30,더숲초소책방,서울 종로구 인왕산로 172-0,카페/찻집,28704
31,카페노티드청담,서울 강남구 도산대로53길 15-0,카페/찻집,28434
32,대도식당본점,서울 성동구 무학로12길 3-0,한식,28416
33,맥도날드양재SK DT점,서울 서초구 바우뫼로 178-0,간이음식,27850
34,스케줄청담,서울 강남구 선릉로152길 37-0,전문음식,27838
35,원조호수삼계탕본점,서울 영등포구 도림로 274-1,한식,27598
36,스타벅스서울웨이브아트센터점,서울 서초구 잠원로 145-35,카페/찻집,27100
37,진미평양냉면,서울 강남구 학동로 305-3,한식,26915
38,맥도날드양평SK DT점,서울 영등포구 선유로 195-0,간이음식,26480
39,필동면옥,서울 중구 서애로 26-0,한식,26291
40,스타벅스송파나루역DT점,서울 송파구 오금로 142-0,카페/찻집,25723
41,경리단길,서울 용산구,음식점기타,25463
42,삼원가든본점,서울 강남구 언주로 835-0,한식,25291
43,봉피양방이점,서울 송파구 양재대로71길 1-4,한식,25063
44,쿠우쿠우상봉점,서울 중랑구 망우로 316-0,전문음식,24949
45,스타벅스방화DT점,서울 강서구 방화대로 375-0,카페/찻집,24917
46,맥도날드등촌DT점,서울 강서구 양천로 546-0,간이음식,24764
47,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식,23953
48,스타벅스강동구청DT점,서울 강동구 성내로 32-0,카페/찻집,23791
49,유림강서본점,서울 강서구 공항대로71길 5-0,전문음식,23621
50,스타벅스공릉DT점,서울 노원구 동일로 1015-0,카페/찻집,23439
