시도,군구,관광지,내/외국인,,인원계,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,인원계,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,url
서울특별시,종로구,경복궁,내국인,"1,934,183","868,368","267,634","81,330","32,030","48,450","54,327",0,"13,731","30,678","42,484","147,929","116,834","32,941","1,065,815","29,334","70,474","54,681","118,294","146,385","64,511","20,761","35,002","105,009","174,453","189,347","57,564",,,,,,,,,,,"https://map.naver.com/v5/search/%EA%B2%BD%EB%B3%B5%EA%B6%81/place/11571707?c=14131285.7033901,4520099.7853949,13,0,0,0,dh&placePath=%3Fentry%253Dbmp"
서울특별시,종로구,경복궁,외국인,"170,102","150,729","120,350","20,639","1,431",483,447,0,170,"1,123",838,"2,734","1,885",629,"19,373",399,"1,591",987,"1,849","1,965","1,376",875,"1,259","3,191","2,055","2,388","1,438",,,,,,,,,,,
서울특별시,종로구,경복궁,합계,"2,104,285","1,019,097","387,984","101,969","33,461","48,933","54,774",0,"13,901","31,801","43,322","150,663","118,719","33,570","1,085,188","29,733","72,065","55,668","120,143","148,350","65,887","21,636","36,261","108,200","176,508","191,735","59,002",,,,,,,,,,,
서울특별시,종로구,종묘,내국인,"350,268","138,917","25,863","9,867","11,375","21,571","18,893",0,"3,445","6,250","7,369","19,441","11,314","3,529","211,351","7,167","13,332","13,739","18,257","18,561","14,259","6,057","9,456","23,153","38,680","36,002","12,688",,,,,,,,,,,"https://map.naver.com/v5/search/%EC%A2%85%EB%AC%98/place/11620940?c=14136436.6719423,4519672.9392995,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
서울특별시,종로구,종묘,외국인,"11,372","7,460","2,689","2,779",457,251,265,0,49,102,183,359,199,127,"3,912",153,256,261,405,308,320,177,237,478,471,492,354,,,,,,,,,,,
서울특별시,종로구,종묘,합계,"361,640","146,377","28,552","12,646","11,832","21,822","19,158",0,"3,494","6,352","7,552","19,800","11,513","3,656","215,263","7,320","13,588","14,000","18,662","18,869","14,579","6,234","9,693","23,631","39,151","36,494","13,042",,,,,,,,,,,
서울특별시,종로구,창경궁,내국인,"932,762","381,603","41,603","12,901","26,930","41,109","37,878",0,"7,483","16,277","25,674","82,344","74,158","15,246","551,159","17,944","32,008","54,453","64,714","54,004","35,472","15,152","22,546","51,228","71,148","108,642","23,848",,,,,,,,,,,"https://map.naver.com/v5/search/%EC%B0%BD%EA%B2%BD%EA%B6%81/place/11571740?c=13898133.9448061,4520191.7332653,7,0,0,0,dh&placePath=%3Fentry%253Dbmp"
서울특별시,종로구,창경궁,외국인,"15,986","9,712","4,517","2,160",393,351,233,0,51,251,317,604,640,195,"6,274",180,313,579,689,601,388,311,320,628,874,955,436,,,,,,,,,,,
서울특별시,종로구,창경궁,합계,"948,748","391,315","46,120","15,061","27,323","41,460","38,111",0,"7,534","16,528","25,991","82,948","74,798","15,441","557,433","18,124","32,321","55,032","65,403","54,605","35,860","15,463","22,866","51,856","72,022","109,597","24,284",,,,,,,,,,,
서울특별시,종로구,창덕궁,내국인,"1,048,876","421,210","71,929","17,180","29,231","48,475","48,186",0,"8,325","19,311","23,239","74,082","66,541","14,711","627,666","20,060","36,754","83,496","69,340","58,095","39,719","17,421","26,656","49,009","81,707","110,634","34,775",,,,,,,,,,,"https://map.naver.com/v5/search/%EC%B0%BD%EB%8D%95%EA%B6%81/place/12261493?c=14136212.0403421,4520628.4194328,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
서울특별시,종로구,창덕궁,외국인,"67,548","51,665","27,206","13,628","1,344",874,754,0,245,621,916,"2,744","2,746",587,"15,883",383,734,"1,146","1,751","1,252","1,101",852,668,"1,388","1,719","3,585","1,304",,,,,,,,,,,
서울특별시,종로구,창덕궁,합계,"1,116,424","472,875","99,135","30,808","30,575","49,349","48,940",0,"8,570","19,932","24,155","76,826","69,287","15,298","643,549","20,443","37,488","84,642","71,091","59,347","40,820","18,273","27,324","50,397","83,426","114,219","36,079",,,,,,,,,,,
서울특별시,중구,남산골한옥마을,내국인,"1,574,134","777,446","77,341","45,994","60,675","77,334","75,874","57,995","57,286","42,008","69,775","95,142","73,686","44,336","796,688","43,275","54,796","79,459","92,354","81,772","73,331","38,614","43,297","73,658","85,945","80,395","49,792",,,,,,,,,,,"https://map.naver.com/v5/search/%EB%82%A8%EC%82%B0%EA%B3%A8%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84/place/13198659?c=14136392.7564029,4517236.7848047,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
서울특별시,중구,남산골한옥마을,외국인,"19,892","15,895","10,128","3,641",423,313,354,254,167,39,29,269,188,90,"3,997",145,225,370,415,379,374,232,275,429,459,445,249,,,,,,,,,,,
서울특별시,중구,남산골한옥마을,합계,"1,594,026","793,341","87,469","49,635","61,098","77,647","76,228","58,249","57,453","42,047","69,804","95,411","73,874","44,426","800,685","43,420","55,021","79,829","92,769","82,151","73,705","38,846","43,572","74,087","86,404","80,840","50,041",,,,,,,,,,,
