광역지자체명,기초지자체명,기초지자체별 거주 방문자 수(19~20),기초지자체별 거주 방문자 수(20~21),기초지자체별 거주 방문자 수(21~22),방문자 수(합)
경기도,남양주시,3.52E+07,3.37E+07,4.11E+07,1.10E+08
경기도,부천시,3.13E+07,2.97E+07,3.49E+07,9.60E+07
경기도,성남시 분당구,2.50E+07,2.32E+07,2.89E+07,7.71E+07
경기도,고양시 덕양구,2.37E+07,2.32E+07,2.79E+07,7.49E+07
경기도,의정부시,2.00E+07,2.04E+07,2.59E+07,6.63E+07
경기도,하남시,2.00E+07,2.00E+07,2.41E+07,6.40E+07
경기도,김포시,1.72E+07,1.81E+07,2.18E+07,5.70E+07
경기도,광명시,1.65E+07,1.48E+07,1.73E+07,4.86E+07
경기도,구리시,1.41E+07,1.37E+07,1.58E+07,4.36E+07
경기도,고양시 일산동구,1.36E+07,1.26E+07,1.54E+07,4.17E+07
경기도,용인시 수지구,1.34E+07,1.24E+07,1.53E+07,4.12E+07
경기도,용인시 기흥구,1.29E+07,1.23E+07,1.49E+07,4.01E+07
경기도,화성시,1.27E+07,1.23E+07,1.47E+07,3.97E+07
경기도,성남시 수정구,1.23E+07,1.18E+07,1.46E+07,3.87E+07
경기도,광주시,1.22E+07,1.18E+07,1.37E+07,3.77E+07
경기도,안양시 동안구,1.07E+07,9908801,1.29E+07,3.36E+07
경기도,고양시 일산서구,1.02E+07,9855860,1.24E+07,3.24E+07
경기도,파주시,9827766,9847292,1.17E+07,3.14E+07
경기도,수원시 영통구,8331106,8621252,1.07E+07,2.77E+07
경기도,시흥시,8154822,7492198,9290864,2.49E+07
경기도,군포시,7376722,6817626,8383341,2.26E+07
경기도,안양시 만안구,7109330,6671788,8078650,2.19E+07
경기도,성남시 중원구,6843858,6568639,7971662,2.14E+07
경기도,양주시,6418433,6372804,7809655,2.06E+07
경기도,평택시,5951908,5770286,7498438,1.92E+07
경기도,수원시 장안구,5765102,5394599,7228973,1.84E+07
경기도,안산시 상록구,5740588,5272502,6825189,1.78E+07
경기도,수원시 권선구,5599156,5185810,6447927,1.72E+07
경기도,용인시 처인구,5295780,5145448,6300041,1.67E+07
경기도,과천시,5115341,4894362,6072563,1.61E+07
경기도,의왕시,4972296,4585718,5609311,1.52E+07
경기도,안산시 단원구,4498158,4508917,5463167,1.45E+07
경기도,양평군,3812840,3826900,4630794,1.23E+07
경기도,수원시 팔달구,3488611,3316870,4426988,1.12E+07
경기도,이천시,3445281,3253806,4105668,1.08E+07
경기도,포천시,3200046,3123295,3971848,1.03E+07
경기도,오산시,2829340,2706452,3702517,9.24E+06
경기도,안성시,2369094,2155786,2842315,7.37E+06
경기도,동두천시,1971672,1965162,2459690,6.40E+06
경기도,가평군,1812954,1753332,2123787,5.69E+06
경기도,여주시,1633482,1568854,1928960,5.13E+06
경기도,연천군,666603,655375,856679,2.18E+06
인천광역시,서구,1.26E+07,1.19E+07,1.54E+07,3.98E+07
인천광역시,부평구,1.08E+07,1.01E+07,1.22E+07,3.30E+07
인천광역시,남동구,7523946,7071589,8570169,2.32E+07
인천광역시,계양구,6990739,6385754,7736618,2.11E+07
인천광역시,연수구,6467290,6317776,7611614,2.04E+07
인천광역시,미추홀구,5973846,5673171,7158786,1.88E+07
인천광역시,중구,3423798,3199612,4145693,1.08E+07
인천광역시,강화군,1087510,1082284,1357153,3.53E+06
인천광역시,동구,646790,585256,696745,1.93E+06
인천광역시,옹진군,186042,177268,233872,5.97E+05
충청남도,천안시 서북구,2948110,3334608,3683572,9.97E+06
충청남도,아산시,2766274,3276042,3493427,9.54E+06
충청남도,천안시 동남구,2408424,1987562,2838849,7.23E+06
충청남도,서산시,1578031,877737,1848510,4.30E+06
충청남도,당진시,1513922,780479,1826162,4.12E+06
충청남도,보령시,779776,643979,961456,2.39E+06
충청남도,홍성군,767246,572726,952500,2.29E+06
충청남도,태안군,698754,560066,815975,2.07E+06
충청남도,논산시,609150,451748,771699,1.83E+06
충청남도,공주시,581108,441724,718851,1.74E+06
충청남도,예산군,562023,418110,688955,1.67E+06
충청남도,부여군,385718,402650,493913,1.28E+06
충청남도,계룡시,374594,362996,442627,1.18E+06
충청남도,서천군,314682,325286,363548,1.00E+06
충청남도,금산군,235648,315262,301591,8.53E+05
충청남도,청양군,188002,294308,234400,7.17E+05
강원도,원주시,3521154,255241,4417144,8.19E+06
강원도,춘천시,3492300,206990,4340542,8.04E+06
강원도,강릉시,2092293,2668634,2584649,7.35E+06
강원도,속초시,864108,2473429,1079187,4.42E+06
강원도,홍천군,819042,2056134,995613,3.87E+06
강원도,평창군,645586,1417440,795415,2.86E+06
강원도,철원군,604310,1415757,775423,2.80E+06
강원도,동해시,562849,727153,746732,2.04E+06
강원도,삼척시,523842,722390,632242,1.88E+06
강원도,횡성군,463078,623892,576906,1.66E+06
강원도,인제군,460778,546620,542116,1.55E+06
강원도,양양군,388346,519390,541136,1.45E+06
강원도,태백시,374888,517338,455701,1.35E+06
강원도,정선군,368210,355432,437121,1.16E+06
강원도,고성군,338880,326508,436080,1.10E+06
강원도,화천군,314258,289544,431623,1.04E+06
강원도,영월군,267446,210346,338298,8.16E+05
강원도,양구군,261264,175598,291710,7.29E+05
충청북도,충주시,2089468,1836387,2556040,6.48E+06
충청북도,청주시 흥덕구,1831938,1668958,2319097,5.82E+06
충청북도,음성군,1399076,1299130,1685866,4.38E+06
충청북도,청주시 청원구,1356078,1185426,1676196,4.22E+06
충청북도,청주시 서원구,1280296,1154055,1665742,4.10E+06
충청북도,청주시 상당구,856782,772978,1118903,2.75E+06
충청북도,제천시,850678,769548,1053922,2.67E+06
충청북도,진천군,625818,590499,818484,2.03E+06
충청북도,괴산군,310583,285106,490309,1.09E+06
충청북도,영동군,273074,241647,321237,8.36E+05
충청북도,증평군,267092,229558,319017,8.16E+05
충청북도,옥천군,225120,211004,283572,7.20E+05
충청북도,단양군,221165,207848,253836,6.83E+05
충청북도,보은군,155344,153419,196159,5.05E+05
대전광역시,유성구,3729344,1709236,2408360,7.85E+06
대전광역시,서구,3289888,1009278,1534461,5.83E+06
대전광역시,중구,1273514,878174,1286188,3.44E+06
대전광역시,동구,1108863,731731,1111432,2.95E+06
대전광역시,대덕구,864647,726180,1102749,2.69E+06
경상북도,구미시,1138994,701554,1000340,2.84E+06
경상북도,경주시,997696,600439,899055,2.50E+06
경상북도,포항시 북구,982846,581808,887480,2.45E+06
경상북도,경산시,877782,559573,834076,2.27E+06
경상북도,포항시 남구,852369,391996,589790,1.83E+06
경상북도,안동시,839394,382452,579753,1.80E+06
경상북도,김천시,687666,378427,558225,1.62E+06
경상북도,영주시,684747,248314,379469,1.31E+06
경상북도,상주시,480165,231385,377976,1.09E+06
경상북도,문경시,395563,213370,322033,9.31E+05
경상북도,울진군,378738,149905,242985,7.72E+05
경상북도,예천군,300006,1036486,1483405,2.82E+06
경상북도,칠곡군,248031,943957,1362684,2.55E+06
경상북도,영천시,203556,867727,1273927,2.35E+06
경상북도,봉화군,161060,817232,1223225,2.20E+06
경상북도,의성군,143115,792246,1145392,2.08E+06
경상북도,영덕군,139573,764988,1071792,1.98E+06
경상북도,청송군,99183,631414,856154,1.59E+06
경상북도,성주군,97223,618222,825484,1.54E+06
경상북도,청도군,94668,446548,586738,1.13E+06
경상북도,영양군,65954,369502,488239,9.24E+05
경상북도,고령군,52983,348618,442352,8.44E+05
경상북도,군위군,47204,285036,401769,7.34E+05
경상북도,울릉군,46050,244744,339252,6.30E+05
부산광역시,해운대구,1709774,198538,279959,2.19E+06
부산광역시,부산진구,1000108,143252,183211,1.33E+06
부산광역시,남구,885342,135184,175141,1.20E+06
